CO,error,beam,ref,HCN,error,beam,ref,13CO,error,beam,ref
194,16,22,https://ui.adsabs.harvard.edu/abs/1999AJ....117.2632B/abstract,6.2,0.9,29.5,http://arxiv.org/abs/1404.6090,6.5,1.9,22.4,https://arxiv.org/pdf/astro-ph/0610378.pdf
850,130,20.8,https://arxiv.org/pdf/astro-ph/0610378.pdf,nan,nan,nan,no,26,4,11.4,https://arxiv.org/pdf/astro-ph/0610378.pdf
1294,171,14,https://arxiv.org/pdf/astro-ph/0610378.pdf,12.3,2.4,24,http://arxiv.org/abs/1404.6090,,,,
1603,266,42.8,http://arxiv.org/abs/1404.6090,nan,10,18,http://arxiv.org/abs/1404.6090,,,,
1366,143,35.2,http://arxiv.org/abs/1404.6090,,,,,,,,
1369,62,31.2,http://arxiv.org/abs/1404.6090,,,,,,,,
1178,38,35.9,http://arxiv.org/abs/1404.6090,,,,,,,,
1036,46,40.1,http://arxiv.org/abs/1404.6090,,,,,,,,
844,78,19,http://arxiv.org/abs/1404.6090,,,,,,,,
662,26,17.4,http://arxiv.org/abs/1404.6090,,,,,,,,
371,56,17.3,http://arxiv.org/abs/1404.6090,,,,,,,,
282,32,16.9,http://arxiv.org/abs/1404.6090,,,,,,,,
126,35,16.6,http://arxiv.org/abs/1404.6090,,,,,,,,
